CountyNo;CountyName;State;Fips;Site;Lat;Long;Population;Area;Density;Infected
124;lonoke;Arkansas;5;85;34.882;-91.963;52828;766;76.6;84
125;madison;Arkansas;5;87;36.052;-93.754;14243;836.8;17.5;187
126;marion;Arkansas;5;89;36.282;-92.664;16140;597.7;27.4;34
127;miller;Arkansas;5;91;33.4;-93.987;40443;624;68.1;13
128;mississippi;Arkansas;5;93;35.84;-89.995;51979;898.2;54;40
129;monroe;Arkansas;5;95;34.773;-91.216;10254;606.6;15.5;433
130;montgomery;Arkansas;5;97;34.519;-93.626;9245;780.9;11.9;72
131;nevada;Arkansas;5;99;33.718;-93.354;9955;620;15.5;65
132;newton;Arkansas;5;101;35.98;-93.176;8608;823;10.3;149
133;ouachita;Arkansas;5;103;33.574;-92.839;28790;732.5;37.4;71
134;perry;Arkansas;5;105;34.999;-92.785;10209;550.9;19;92
135;phillips;Arkansas;5;107;34.523;-90.71;26445;692.7;35.1;290
136;pike;Arkansas;5;109;34.179;-93.624;11303;603;18.2;7
137;poinsett;Arkansas;5;111;35.598;-90.557;25614;757.8;33.4;457
138;polk;Arkansas;5;113;34.518;-94.26;20229;859.4;23.4;477
139;pope;Arkansas;5;115;35.312;-93.095;54469;811.9;68.9;398
140;prairie;Arkansas;5;117;34.857;-91.533;9539;645.9;14.2;24
141;pulaski;Arkansas;5;119;34.772;-92.304;361474;770.8;474.7;34
142;randolph;Arkansas;5;121;36.305;-90.986;18195;651.9;28.2;32
143;st francis;Arkansas;5;123;35.015;-90.765;29329;633.8;44.5;67
144;saline;Arkansas;5;125;34.591;-92.543;83529;723.5;123.3;144
145;scott;Arkansas;5;127;34.905;-94.093;10996;893.9;12.3;234
146;searcy;Arkansas;5;129;35.92;-92.66;8261;667.1;12.1;42
147;sebastian;Arkansas;5;131;35.321;-94.357;115071;536.2;219.7;194
148;sevier;Arkansas;5;133;34.012;-94.299;15757;563.9;28.6;6
149;sharp;Arkansas;5;135;36.176;-91.521;17119;604.3;28.9;52
150;stone;Arkansas;5;137;35.858;-92.142;11499;606.6;19.3;11
151;union;Arkansas;5;139;33.206;-92.643;45629;1038.9;42.9;33
152;van buren;Arkansas;5;141;35.57;-92.42;16192;711.5;23.3;151
153;washington;Arkansas;5;143;36.088;-94.173;157715;949.7;183.3;18
154;white;Arkansas;5;145;35.25;-91.756;67165;1034;68.3;246
155;woodruff;Arkansas;5;147;35.221;-91.253;8741;586.6;13.9;19
156;yell;Arkansas;5;149;35.113;-93.295;21139;927.9;23;60
157;alameda;California;6;1;37.706;-122.105;1443741;737.6;1973;193
158;alpine;California;6;3;38.721;-119.855;1208;738.6;1.6;527
159;amador;California;6;5;38.398;-120.766;35100;593;63.8;46
160;butte;California;6;7;39.67;-121.705;203171;1636;130.2;150
161;calaveras;California;6;9;38.176;-120.616;40554;1020;45;108
162;colusa;California;6;11;39.163;-122.087;18804;1150.7;17.7;179
163;contra costa;California;6;13;37.939;-122.049;948816;719.9;1401.7;80
164;del norte;California;6;15;41.796;-124.161;27507;1007.8;28.1;96
165;el dorado;California;6;17;38.76;-120.685;156299;1710.9;101.1;86
166;fresno;California;6;19;36.736;-119.772;799407;5962.7;145.4;255
167;glenn;California;6;21;39.657;-122.176;26453;1313.5;20.9;47
168;humboldt;California;6;23;40.757;-124.087;126518;3572.5;36;94
169;imperial;California;6;25;32.846;-115.524;142361;4174.7;36.5;100
170;inyo;California;6;27;37.163;-118.275;17945;10202.9;1.8;88
171;kern;California;6;29;35.373;-118.917;661645;8143;90.2;190
172;kings;California;6;31;36.238;-119.734;129461;1391;102.5;13
173;lake;California;6;33;38.978;-122.741;58309;1258;51.2;243
174;lassen;California;6;35;40.478;-120.554;33828;4557.3;7.6;292
175;los angeles;California;6;37;34.058;-118.241;9519338;4058.9;2448.4;176
176;madera;California;6;39;37.049;-119.997;123109;2135.9;65.1;344
177;marin;California;6;41;37.986;-122.548;247289;519.8;473.3;97
178;mariposa;California;6;43;37.542;-119.937;17130;1451.1;12.4;92
179;mendocino;California;6;45;39.284;-123.397;86265;3509;25.2;349
180;merced;California;6;47;37.283;-120.623;210554;1928.7;122.9;14
181;modoc;California;6;49;41.535;-120.65;9449;3944.1;2.4;283
182;mono;California;6;51;37.788;-118.989;12853;3044.4;4.2;43
183;monterey;California;6;53;36.621;-121.667;401762;3302.1;125.6;122
184;napa;California;6;55;38.344;-122.329;124279;753.7;175.6;211
185;nevada;California;6;57;39.217;-120.928;92033;957.6;102;206
186;orange;California;6;59;33.737;-117.868;2846289;789.4;3784.7;56
187;placer;California;6;61;38.854;-121.136;248399;1404.4;218.6;63
188;plumas;California;6;63;39.995;-120.844;20824;2553.8;8.4;57
189;riverside;California;6;65;33.812;-117.052;1545387;7207.4;259.7;59
190;sacramento;California;6;67;38.575;-121.379;1223499;965.6;1400.6;444
191;san benito;California;6;69;36.843;-121.401;53234;1389.1;40.5;140
192;san bernardino;California;6;71;34.181;-117.351;1709434;20052.2;95.8;203
193;san diego;California;6;73;32.882;-117.114;2813833;4201.5;697.8;390
194;san francisco;California;6;75;37.759;-122.439;776733;46.7;15938.3;173
195;san joaquin;California;6;77;37.944;-121.291;563598;1399.3;464.4;72
196;san luis obispo;California;6;79;35.339;-120.673;246681;3303.5;77.1;97
197;san mateo;California;6;81;37.564;-122.341;707161;449.1;1557;46
198;santa barbara;California;6;83;34.622;-120.071;399347;2737;146.8;494
199;santa clara;California;6;85;37.315;-121.911;1682585;1290.7;1305.7;45
200;santa cruz;California;6;87;36.988;-121.939;255602;445.3;562.9;95
201;shasta;California;6;89;40.584;-122.293;163256;3785.2;47;67
202;sierra;California;6;91;39.613;-120.42;3555;953.4;3.7;49
203;siskiyou;California;6;93;41.571;-122.487;44301;6286.8;7.1;185
204;solano;California;6;95;38.233;-122.074;394542;829.2;498;66
205;sonoma;California;6;97;38.413;-122.721;458614;1575.9;297.3;342
206;stanislaus;California;6;99;37.624;-120.96;446997;1493.8;333.6;279
207;sutter;California;6;101;39.133;-121.644;78930;602.5;144;80
208;tehama;California;6;103;40.108;-122.216;56039;2951;20.4;159
209;trinity;California;6;105;40.686;-123.06;13022;3178.6;4.3;139
210;tulare;California;6;107;36.249;-119.226;368021;4824;83.2;69
211;tuolumne;California;6;109;37.975;-120.327;54501;2235.4;25.5;407
212;ventura;California;6;111;34.243;-119.026;753197;1845.3;432.3;91
213;yolo;California;6;113;38.603;-121.734;168660;1013.3;181.9;220
214;yuba;California;6;115;39.152;-121.493;60219;630.7;102.5;109
215;adams;Colorado;8;1;39.866;-104.946;363857;1178;330.9;359
216;alamosa;Colorado;8;3;37.485;-105.88;14966;722.7;20.9;241
217;arapahoe;Colorado;8;5;39.65;-104.863;487967;803.2;650.9;169
218;archuleta;Colorado;8;7;37.237;-107.085;9898;1350.2;8.6;84
219;baca;Colorado;8;9;37.364;-102.511;4517;2555.9;1.6;191
220;bent;Colorado;8;11;38.074;-103.153;5998;1513.9;3.7;355
221;boulder;Colorado;8;13;40.051;-105.181;291288;731.8;381.1;353
222;chaffee;Colorado;8;15;38.672;-106.079;16242;1013.5;16.7;154
223;cheyenne;Colorado;8;17;38.82;-102.458;2231;1781.3;1.1;76
224;clear creek;Colorado;8;19;39.713;-105.532;9322;395.4;23.3;259
225;conejos;Colorado;8;21;37.192;-105.988;8400;1287.2;6.5;80
226;costilla;Colorado;8;23;37.281;-105.451;3663;1227.1;2.9;19
227;crowley;Colorado;8;25;38.196;-103.838;5518;789;7;344
228;custer;Colorado;8;27;38.136;-105.371;3503;738.9;5.2;117
229;delta;Colorado;8;29;38.802;-107.904;27834;1142.1;26.1;218
230;denver;Colorado;8;31;39.719;-104.965;554636;153.3;3631.4;20
231;dolores;Colorado;8;33;37.741;-108.783;1844;1067;1.7;254
232;douglas;Colorado;8;35;39.493;-104.886;175766;840.1;283.2;260
233;eagle;Colorado;8;37;39.593;-106.697;41659;1687.9;27.4;47
234;elbert;Colorado;8;39;39.374;-104.513;19872;1850.8;12.2;336
235;el paso;Colorado;8;41;38.867;-104.767;516929;2126.4;260.8;217
236;fremont;Colorado;8;43;38.423;-105.203;46145;1532.9;30.9;7
237;garfield;Colorado;8;45;39.505;-107.536;43791;2947;16.5;177
238;gilpin;Colorado;8;47;39.856;-105.481;4757;149.9;32.6;10
239;grand;Colorado;8;49;40.058;-105.994;12442;1846.2;7.2;311
240;gunnison;Colorado;8;51;38.648;-106.945;13956;3238.7;4.4;59
241;hinsdale;Colorado;8;53;37.987;-107.307;790;1117.7;0.7;221
242;huerfano;Colorado;8;55;37.618;-104.873;7862;1590.9;4.9;60
243;jackson;Colorado;8;57;40.694;-106.291;1577;1613.2;0.9;71
244;jefferson;Colorado;8;59;39.723;-105.128;527056;768;685.4;150
245;kiowa;Colorado;8;61;38.471;-102.698;1622;1771;0.8;89
246;kit carson;Colorado;8;63;39.311;-102.455;8011;2160.9;3.6;66
247;lake;Colorado;8;65;39.247;-106.306;7812;376.9;20.5;64
248;la plata;Colorado;8;67;37.264;-107.812;43941;1692.2;27.5;105
249;larimer;Colorado;8;69;40.505;-105.108;251494;2601.3;103.4;210
250;las animas;Colorado;8;71;37.195;-104.512;15207;4772.6;3.2;11
251;lincoln;Colorado;8;73;39.178;-103.605;6087;2586.1;2.2;52
252;logan;Colorado;8;75;40.643;-103.185;20504;1838.5;11.4;29
253;mesa;Colorado;8;77;39.091;-108.534;116255;3327.7;38.2;264
254;mineral;Colorado;8;79;37.805;-106.932;831;875.7;1.1;31
255;moffat;Colorado;8;81;40.515;-107.628;13184;4742.3;2.8;63
256;montezuma;Colorado;8;83;37.37;-108.557;23830;2030.6;12.2;14
257;montrose;Colorado;8;85;38.478;-107.951;33432;2240.6;16.4;85
258;morgan;Colorado;8;87;40.256;-103.779;27171;1285.4;21.9;266
259;otero;Colorado;8;89;38.024;-103.658;20311;1262.9;15.5;34
260;ouray;Colorado;8;91;38.139;-107.744;3742;540.5;7.7;71
261;park;Colorado;8;93;39.329;-105.588;14523;2200.7;7.6;44
262;phillips;Colorado;8;95;40.602;-102.39;4480;687.6;6.7;27
263;pitkin;Colorado;8;97;39.234;-106.904;14872;970.4;15.1;412
264;prowers;Colorado;8;99;38.082;-102.54;14483;1640.4;8.6;67
265;pueblo;Colorado;8;101;38.258;-104.634;141472;2388.7;62.9;537
266;rio blanco;Colorado;8;103;40.053;-108.287;5986;3221;1.9;259
267;rio grande;Colorado;8;105;37.617;-106.242;12413;911.6;13.6;141
268;routt;Colorado;8;107;40.45;-106.904;19690;2361.6;8.9;96
269;saguache;Colorado;8;109;37.89;-106.05;5917;3168.4;2.2;161
270;san juan;Colorado;8;111;37.809;-107.667;558;387.4;1.5;71
271;san miguel;Colorado;8;113;37.975;-107.965;6594;1286.5;5.5;253
272;sedgwick;Colorado;8;115;40.961;-102.325;2747;548.2;4.6;96
273;summit;Colorado;8;117;39.575;-106.056;23548;608.1;41;13
274;teller;Colorado;8;119;38.945;-105.132;20555;557.1;38.9;180
275;washington;Colorado;8;121;40.084;-103.161;4926;2521;1.8;65
276;weld;Colorado;8;123;40.348;-104.761;180936;3987.7;55;138
277;yuma;Colorado;8;125;40.063;-102.484;9841;2365.8;4.1;143
278;fairfield;Connecticut;9;1;41.207;-73.365;882567;625.8;1443.4;55
279;hartford;Connecticut;9;3;41.762;-72.717;857183;735.4;1190.6;85
280;litchfield;Connecticut;9;5;41.728;-73.19;182193;919.9;205.7;84
281;middlesex;Connecticut;9;7;41.476;-72.568;155071;369.3;439.5;26
282;new haven;Connecticut;9;9;41.395;-72.941;824008;605.6;1396.4;65
283;new london;Connecticut;9;11;41.441;-72.096;259088;665.9;400.1;168
284;tolland;Connecticut;9;13;41.844;-72.375;136364;410.1;357.7;281
285;windham;Connecticut;9;15;41.805;-71.994;109091;512.7;223;319
286;kent;Delaware;10;1;39.117;-75.556;126697;588.8;235.6;41
287;new castle;Delaware;10;3;39.699;-75.629;500265;425.6;1220.5;44
288;sussex;Delaware;10;5;38.659;-75.356;156638;937.4;183.7;269
289;washington;District of Columbia;11;1;38.91;-77.014;572059;61.1;9058.1;54
290;alachua;Florida;12;1;29.666;-82.38;217955;874.8;255;38
291;baker;Florida;12;3;30.285;-82.187;22259;585.4;41;27
292;bay;Florida;12;5;30.202;-85.654;148217;758.4;208.3;382
293;bradford;Florida;12;7;29.953;-82.128;26088;293.1;94.2;49
294;brevard;Florida;12;9;28.244;-80.688;476230;1018.2;510.1;177
295;broward;Florida;12;11;26.139;-80.22;1623018;1205.4;1455.8;205
296;calhoun;Florida;12;13;30.461;-85.114;13017;567.4;23.2;223
297;charlotte;Florida;12;15;26.958;-82.118;141627;693.6;226.5;33
298;citrus;Florida;12;17;28.86;-82.451;118085;583.7;223.5;249
299;clay;Florida;12;19;30.082;-81.797;140814;601.1;273.5;38
300;collier;Florida;12;21;26.192;-81.708;251377;2025.3;146.5;53
301;columbia;Florida;12;23;30.129;-82.659;56513;796.6;77.7;20
302;dade;Florida;12;86;25.781;-80.294;2253362;1945.5;1214.9;52
303;de soto;Florida;12;27;27.19;-81.867;32209;637.3;54.8;337
304;dixie;Florida;12;29;29.629;-83.061;13827;704;20.3;142
305;duval;Florida;12;31;30.302;-81.623;778879;761.9;1077.9;91
306;escambia;Florida;12;33;30.482;-87.271;294410;662.4;451.2;78
307;flagler;Florida;12;35;29.525;-81.223;49832;485.1;142.3;215
308;franklin;Florida;12;37;29.793;-84.814;11057;544.3;18.6;54
309;gadsden;Florida;12;39;30.601;-84.585;45087;516.1;89.3;312
310;gilchrist;Florida;12;41;29.7;-82.807;14437;348.9;45.9;13
311;glades;Florida;12;43;26.909;-81.171;10576;773.8;14.4;148
312;gulf;Florida;12;45;29.952;-85.262;13332;553.3;25;84
313;hamilton;Florida;12;47;30.499;-82.989;13327;514.9;27.5;54
314;hardee;Florida;12;49;27.551;-81.814;26938;637.3;43.9;205
315;hendry;Florida;12;51;26.716;-81.203;36210;1152.5;33.1;413
316;hernando;Florida;12;53;28.505;-82.495;130802;471.9;318.6;83
317;highlands;Florida;12;55;27.46;-81.439;87366;1028.1;90.6;70
318;hillsborough;Florida;12;57;27.983;-82.411;998948;1050.9;1047.9;522
319;holmes;Florida;12;59;30.85;-85.757;18564;482.4;39.4;31
320;indian river;Florida;12;61;27.668;-80.434;112947;503.2;246.6;296
321;jackson;Florida;12;63;30.799;-85.208;46755;914.9;52.1;178
322;jefferson;Florida;12;65;30.505;-83.889;12902;597.7;24.3;32
323;lafayette;Florida;12;67;30.06;-83.169;7022;542.8;13.8;71
324;lake;Florida;12;69;28.772;-81.756;210528;953;273.6;109
325;lee;Florida;12;71;26.576;-81.873;440888;803.6;640;11
326;leon;Florida;12;73;30.466;-84.272;239452;666.7;365.8;3
327;levy;Florida;12;75;29.373;-82.672;34450;1118.3;33.4;119
328;liberty;Florida;12;77;30.405;-84.915;7021;835.9;8.9;104
329;madison;Florida;12;79;30.474;-83.435;18733;691.8;27.6;85
330;manatee;Florida;12;81;27.476;-82.554;264002;741;400;197
331;marion;Florida;12;83;29.154;-82.12;258916;1580.2;184.4;55
332;martin;Florida;12;85;27.145;-80.241;126731;555.6;248.3;13
333;monroe;Florida;12;87;24.743;-81.249;79589;996.9;78.5;366
334;nassau;Florida;12;89;30.609;-81.648;57663;651.5;96.9;6
335;okaloosa:main;Florida;12;91;30.526;-86.57;170498;935.6;193.9;25
337;okeechobee;Florida;12;93;27.269;-80.821;35910;773.9;50.4;433
338;orange;Florida;12;95;28.541;-81.386;896344;906.7;1091.8;208
339;osceola;Florida;12;97;28.274;-81.374;172493;1321.9;166.1;300
340;palm beach;Florida;12;99;26.609;-80.144;1131184;1973.9;629.8;168
341;pasco;Florida;12;101;28.27;-82.542;344765;744.8;547.5;63
342;pinellas;Florida;12;103;27.898;-82.728;921482;279.9;3317.3;92
343;polk;Florida;12;105;28.021;-81.813;483924;1874.3;279.8;59
344;putnam;Florida;12;107;29.61;-81.717;70423;721.8;100.5;7
345;st johns;Florida;12;109;29.973;-81.393;123135;609;250.4;208
346;st lucie;Florida;12;111;27.359;-80.343;192695;572.4;396.2;294
347;santa rosa;Florida;12;113;30.558;-87.047;117743;1016.9;136;51
348;sarasota;Florida;12;115;27.224;-82.452;325957;571.5;622;272
349;seminole;Florida;12;117;28.693;-81.317;365196;308;1271.1;75
350;sumter;Florida;12;119;28.787;-82.063;53345;545.7;111.2;72
351;suwannee;Florida;12;121;30.218;-82.989;34844;687.6;54.8;466
352;taylor;Florida;12;123;30.069;-83.583;19256;1041.8;18.5;34
353;union;Florida;12;125;30.012;-82.349;13442;240.3;61.1;152
354;volusia;Florida;12;127;29.084;-81.115;443343;1100.8;434.9;95
355;wakulla;Florida;12;129;30.175;-84.345;22863;606.7;44.8;312
356;walton;Florida;12;131;30.616;-86.178;40601;1057.5;45.8;141
357;washington;Florida;12;133;30.661;-85.622;20973;580.1;37.8;6
358;appling;Georgia;13;1;31.771;-82.336;17419;507;35.4;345
359;atkinson;Georgia;13;3;31.316;-82.889;7609;339.4;23.6;339
360;bacon;Georgia;13;5;31.547;-82.465;10103;237.4;43.5;255
361;baker;Georgia;13;7;31.314;-84.43;4074;343.2;12.4;92
362;baldwin;Georgia;13;9;33.078;-83.241;44700;258.4;174.9;14
363;banks;Georgia;13;11;34.355;-83.508;14422;232.1;67.6;12
364;barrow;Georgia;13;13;33.996;-83.737;46144;160.2;352.3;370
365;bartow;Georgia;13;15;34.204;-84.826;76019;459.4;189.3;76
366;ben hill;Georgia;13;17;31.727;-83.248;17484;250.1;69.3;33
367;berrien;Georgia;13;19;31.238;-83.249;16235;451.9;36.9;250
368;bibb;Georgia;13;21;32.832;-83.683;153887;249.9;620.9;499
369;bleckley;Georgia;13;23;32.402;-83.331;11666;217.4;55.4;458
370;brantley;Georgia;13;25;31.216;-81.977;14629;442.4;35.1;86
371;brooks;Georgia;13;27;30.837;-83.549;16450;493.5;33.2;58
372;bryan;Georgia;13;29;31.997;-81.393;23417;433.4;63.5;58
373;bulloch;Georgia;13;31;32.42;-81.763;55983;672.9;89.7;112
374;burke;Georgia;13;33;33.095;-81.998;22243;830.5;27.9;64
375;butts;Georgia;13;35;33.294;-83.969;19522;184.6;121.1;168
376;calhoun;Georgia;13;37;31.523;-84.663;6320;280.2;21.8;321
377;camden;Georgia;13;39;30.814;-81.632;43664;604.8;74.6;238
378;candler;Georgia;13;43;32.399;-82.062;9577;246.9;41.3;194
379;carroll;Georgia;13;45;33.609;-85.057;87268;498.9;203.6;75
380;catoosa;Georgia;13;47;34.93;-85.173;53282;162;369.4;58
